Stock Name,Stock Id,Imputation Method,Days Before,Train Percentage MSE,Test Percentage MSE
PLD,382,2.0,9.0,2.971e-05,0.03811559
PRU,383,2.0,7.0,5.437e-05,0.00030456
PEG,384,2.0,8.0,2.178e-05,0.00160883
PTC,385,2.0,8.0,6.413e-05,0.0280766
PSA,386,2.0,15.0,2.187e-05,0.02337942
PHM,387,2.0,5.0,7.13e-05,0.00771528
QRVO,388,2.0,11.0,0.00010388,0.00095626
PWR,389,2.0,15.0,5.177e-05,0.24555564
QCOM,390,2.0,6.0,5.19e-05,0.03306197
DGX,391,2.0,12.0,2.9e-05,0.00905534
RL,392,2.0,3.0,6.458e-05,0.00066409
RJF,393,2.0,15.0,4.388e-05,0.01860448
RTX,394,2.0,13.0,5.471e-05,0.0003338
O,395,2.0,8.0,3.393e-05,0.00016992
REG,396,2.0,9.0,3.208e-05,0.00035144
REGN,397,2.0,15.0,7.111e-05,0.00293582
RF,398,2.0,14.0,5.813e-05,0.00910371
RSG,399,2.0,14.0,1.875e-05,0.03943703
RMD,400,2.0,15.0,5.533e-05,0.02959399
RHI,401,2.0,15.0,4.62e-05,0.03163526
ROK,402,2.0,15.0,4.031e-05,0.02772538
ROL,403,1.0,8.0,4.904e-05,0.00079896
ROP,404,2.0,13.0,2.172e-05,0.00165831
ROST,405,2.0,9.0,0.00010169,0.00084458
RCL,406,2.0,5.0,0.00010957,0.00134563
SPGI,407,2.0,13.0,3.353e-05,0.00841786
CRM,408,2.0,9.0,0.00044023,0.00790904
SBAC,409,2.0,15.0,3.067e-05,0.0060873
SLB,410,2.0,7.0,5.682e-05,0.00311611
STX,411,2.0,8.0,8.681e-05,0.04082177
SEE,412,2.0,14.0,5.098e-05,0.00963568
SRE,413,2.0,7.0,2.34e-05,0.00049859
NOW,414,2.0,13.0,8.838e-05,0.0122466
SHW,415,1.0,8.0,3.08e-05,0.00639096
SBNY,416,2.0,9.0,4.535e-05,0.10434698
SPG,417,2.0,7.0,5.233e-05,0.01071064
SWKS,418,2.0,12.0,8.45e-05,0.01399548
SJM,419,2.0,15.0,2.456e-05,0.00022509
SNA,420,2.0,15.0,3.536e-05,0.01922958
SEDG,421,2.0,4.0,0.00023244,0.00171269
SO,422,2.0,15.0,2.11e-05,0.00154943
LUV,423,2.0,7.0,5.763e-05,0.0005421
SWK,424,2.0,9.0,4.703e-05,0.00627941
SBUX,425,2.0,10.0,7.075e-05,0.01211065
STT,426,2.0,15.0,4.393e-05,0.00054998
STE,427,2.0,15.0,2.77e-05,0.03248086
SYK,428,2.0,7.0,2.887e-05,0.01117462
SIVB,429,2.0,15.0,7.253e-05,0.1340614
SYF,430,2.0,6.0,7.386e-05,0.00861473
SNPS,431,2.0,13.0,2.824e-05,0.06629963
SYY,432,2.0,8.0,3.26e-05,0.00036046
TMUS,433,2.0,15.0,7.117e-05,0.01438684
TROW,434,2.0,9.0,3.212e-05,0.03960683
TTWO,435,2.0,10.0,6.767e-05,0.00321818
TPR,436,2.0,13.0,7.86e-05,0.00084349
TRGP,437,2.0,12.0,0.00015775,0.00071863
TGT,438,2.0,9.0,3.643e-05,0.07096857
TEL,439,2.0,15.0,3.394e-05,0.05080427
TDY,440,2.0,12.0,3.834e-05,0.00638243
TFX,441,2.0,9.0,3.174e-05,0.00107527
TER,442,2.0,15.0,6.027e-05,0.064233
TSLA,443,2.0,10.0,0.00014595,0.01369937
TXN,444,2.0,13.0,3.71e-05,0.03280301
TXT,445,2.0,8.0,6.562e-05,0.00087227
TMO,446,2.0,15.0,2.578e-05,0.04084591
TJX,447,2.0,11.0,0.00014107,0.00036493
TSCO,448,1.0,8.0,8.153e-05,0.05037673
TT,449,2.0,7.0,3.39e-05,0.02152298
TDG,450,2.0,15.0,6.05e-05,0.00065068
TRV,451,2.0,15.0,2.261e-05,0.00578194
TRMB,452,2.0,7.0,0.00010923,0.02902783
TFC,453,2.0,8.0,3.779e-05,0.00256101
TYL,454,2.0,14.0,3.936e-05,0.02468434
TSN,455,2.0,9.0,3.674e-05,0.00046878
USB,456,2.0,8.0,3.125e-05,0.00032774
UDR,457,2.0,9.0,2.257e-05,0.00479095
ULTA,458,2.0,9.0,8.745e-05,0.00510134
UNP,459,2.0,15.0,3.044e-05,0.01317607
UAL,460,2.0,7.0,0.00012747,0.00101349
UPS,461,2.0,15.0,2.368e-05,0.02343362
URI,462,2.0,12.0,0.00010964,0.15611153
UNH,463,2.0,15.0,3.358e-05,0.08158463
UHS,464,2.0,15.0,5.042e-05,0.00060307
VLO,465,2.0,8.0,7.106e-05,0.00136717
VTR,466,2.0,12.0,6.121e-05,0.00036642
VRSN,467,2.0,14.0,3.283e-05,0.00152776
VRSK,468,2.0,8.0,2.25e-05,0.00437378
VZ,469,2.0,10.0,1.647e-05,0.00018061
VRTX,470,2.0,14.0,0.00010206,0.00091249
VFC,471,2.0,2.0,8.133e-05,0.03900557
VTRS,472,4.0,13.0,5.191e-05,0.00636536
VICI,473,2.0,11.0,6.73e-05,0.00078899
V,474,2.0,4.0,0.00049812,0.00033517
VNO,475,2.0,9.0,3.517e-05,0.02385931
VMC,476,2.0,14.0,4.872e-05,0.0220093
WAB,477,2.0,10.0,0.00010432,0.00038416
WBA,478,2.0,8.0,4.183e-05,0.00043244
WMT,479,2.0,10.0,1.968e-05,0.00125005
WBD,480,2.0,9.0,0.00010044,0.02510191
WM,481,2.0,9.0,1.572e-05,0.02999959
WAT,482,2.0,14.0,3.334e-05,0.05713238
WEC,483,2.0,15.0,2.295e-05,0.00038698
WFC,484,2.0,7.0,3.425e-05,0.00074107
WELL,485,2.0,8.0,4.402e-05,0.00040413
WST,486,2.0,8.0,8.021e-05,0.04627212
WDC,487,2.0,8.0,9.828e-05,0.00086948
WRK,488,2.0,13.0,7.352e-05,0.00047248
